SEGGER J-Link V7.94e - Real time terminal output
SEGGER J-Link (unknown) V1.0, SN=1050344917
Process: JLinkExe
*** Booting nRF Connect SDK v2.5.3 ***
[00:00:00.000,213] <inf> main: starting with HW: WIMKY001
[00:00:00.000,671] <inf> cap_touch_oscillate: cap_touch_init
[00:00:00.001,037] <inf> cap_touch_oscillate: cap_touch_init done
[00:00:00.001,403] <inf> cap_touch_oscillate: cap_touch_start
PWM off, capture 43
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 56
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 56
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 23
PWM off, capture 12
PWM off, capture 11
PWM off, capture 12
PWM off, capture 12
PWM off, capture 11
PWM off, capture 12
PWM off, capture 12
PWM off, capture 12
PWM off, capture 12
PWM off, capture 28
PWM off, capture 55
*** Booting nRF Connect SDK v2.5.3 ***
[00:00:00.000,152] <inf> main: starting with HW: WIMKY001
[00:00:00.000,518] <inf> cap_touch_oscillate: cap_touch_init
[00:00:00.000,885] <inf> cap_touch_oscillate: cap_touch_init done
[00:00:00.001,251] <inf> cap_touch_oscillate: cap_touch_start
PWM off, capture 48
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 55
PWM off, capture 54
PWM off, capture 54
PWM off, capture 54
PWM off, capture 55
