80 07 76 07 00 00
89 07 7a 07 00 00
87 07 7a 07 00 00
8c 07 7d 07 00 00
89 07 7d 07 00 00
89 07 7d 07 00 00
87 07 7b 07 00 00
89 07 7c 07 00 00
89 07 7c 07 00 00
87 07 7b 07 00 00
8a 07 7c 07 00 00
88 07 7c 07 00 00
8a 07 7d 07 00 00
8d 07 7f 07 00 00
8d 07 80 07 00 00
8d 07 80 07 00 00
8b 07 7f 07 00 00
89 07 7d 07 00 00
8b 07 7e 07 00 00
88 07 7c 07 00 00
87 07 7b 07 00 00
86 07 7a 07 00 00
87 07 7a 07 00 00
85 07 79 07 00 00
88 07 7a 07 00 00
8b 07 7d 07 00 00
87 07 7b 07 00 00
89 07 7c 07 00 00
91 07 81 07 00 00
8b 07 7f 07 00 00
8d 07 80 07 00 00
8b 07 7f 07 00 00
8d 07 80 07 00 00
88 07 7d 07 00 00
8a 07 7d 07 00 00
88 07 7c 07 00 00
95 07 83 07 00 00
8d 07 81 07 00 00
8c 07 80 07 00 00
8d 07 80 07 00 00
89 07 7e 07 00 00
8c 07 7f 07 00 00
89 07 7d 07 00 00
88 07 7c 07 00 00
8b 07 7d 07 00 00
8b 07 7e 07 00 00
8b 07 7e 07 00 00
89 07 7d 07 00 00
8b 07 7e 07 00 00
89 07 7d 07 00 00
8d 07 7f 07 00 00
89 07 7d 07 00 00
88 07 7c 07 00 00
88 07 7c 07 00 00
89 07 7c 07 00 00
8a 07 7d 07 00 00
88 07 7c 07 00 00
89 07 7c 07 00 00
8c 07 7e 07 00 00
89 07 7d 07 00 00
8a 07 7d 07 00 00
89 07 7d 07 00 00
88 07 7c 07 00 00
8a 07 7d 07 00 00
88 07 7c 07 00 00
8a 07 7d 07 00 00
8a 07 7d 07 00 00
89 07 7d 07 00 00
8c 07 7e 07 00 00
8a 07 7e 07 00 00
8c 07 7f 07 00 00
8c 07 7f 07 00 00
8b 07 7f 07 00 00
8b 07 7f 07 00 00
86 07 7c 07 00 00
8b 07 7d 07 00 00
88 07 7c 07 00 00
88 07 7c 07 00 00
87 07 7b 07 00 00
8a 07 7c 07 00 00
87 07 7b 07 00 00
87 07 7b 07 00 00
8a 07 7c 07 00 00
89 07 7c 07 00 00
88 07 7c 07 00 00
8b 07 7d 07 00 00
88 07 7c 07 00 00
85 07 7a 07 00 00
87 07 7a 07 00 00
