07 03 cf 01 7f 00
8c 02 3e 02 61 00
9c 05 3f 04 00 00
9e 05 0d 05 00 00
9f 05 5f 05 00 00
9e 05 7f 05 00 00
9d 05 8b 05 00 00
9c 05 90 05 00 00
9b 05 91 05 00 00
9f 05 94 05 00 00
9f 05 95 05 00 00
9e 05 95 05 00 00
9d 05 94 05 00 00
9b 05 93 05 00 00
9d 05 93 05 00 00
9c 05 93 05 00 00
9a 05 92 05 00 00
9d 05 93 05 00 00
9c 05 93 05 00 00
9e 05 94 05 00 00
9f 05 95 05 00 00
9c 05 94 05 00 00
a0 05 96 05 00 00
9c 05 94 05 00 00
9c 05 93 05 00 00
9b 05 92 05 00 00
9c 05 92 05 00 00
9c 05 92 05 00 00
9f 05 94 05 00 00
9b 05 93 05 00 00
9a 05 92 05 00 00
9d 05 93 05 00 00
9f 05 95 05 00 00
9b 05 93 05 00 00
9d 05 93 05 00 00
9c 05 93 05 00 00
9e 05 94 05 00 00
a0 05 96 05 00 00
9e 05 95 05 00 00
9f 05 95 05 00 00
9b 05 93 05 00 00
9e 05 94 05 00 00
9c 05 93 05 00 00
9d 05 93 05 00 00
9e 05 94 05 00 00
9f 05 95 05 00 00
9d 05 94 05 00 00
9d 05 94 05 00 00
9d 05 94 05 00 00
9c 05 93 05 00 00
9c 05 93 05 00 00
9c 05 93 05 00 00
9d 05 93 05 00 00
9d 05 93 05 00 00
9d 05 93 05 00 00
9d 05 93 05 00 00
9d 05 93 05 00 00
9d 05 93 05 00 00
9f 05 95 05 00 00
9e 05 95 05 00 00
9d 05 94 05 00 00
9e 05 94 05 00 00
9d 05 94 05 00 00
9d 05 94 05 00 00
