Notifications started.
7e 03 79 03 5a 00
7d 03 78 03 5a 00
7c 03 77 03 5b 00
7d 03 77 03 5b 00
7c 03 77 03 5b 00
7b 03 76 03 5b 00
7b 03 76 03 5b 00
7c 03 76 03 5b 00
7c 03 76 03 5b 00
7d 03 77 03 5b 00
7a 03 75 03 5b 00
7b 03 75 03 5b 00
78 03 73 03 5c 00
79 03 73 03 5c 00
7a 03 74 03 5b 00
78 03 73 03 5c 00
7a 03 74 03 5b 00
78 03 73 03 5c 00
78 03 73 03 5c 00
77 03 72 03 5c 00
7b 03 74 03 5b 00
78 03 73 03 5c 00
79 03 73 03 5c 00
76 03 71 03 5c 00
77 03 71 03 5c 00
76 03 71 03 5c 00
77 03 71 03 5c 00
75 03 70 03 5c 00
76 03 70 03 5c 00
76 03 70 03 5c 00
76 03 70 03 5c 00
75 03 70 03 5c 00
74 03 6f 03 5d 00
74 03 6f 03 5d 00
76 03 70 03 5c 00
74 03 6f 03 5d 00
73 03 6e 03 5d 00
75 03 6f 03 5d 00
72 03 6d 03 5d 00
74 03 6e 03 5d 00
73 03 6e 03 5d 00
72 03 6d 03 5d 00
72 03 6d 03 5d 00
74 03 6e 03 5d 00
74 03 6e 03 5d 00
75 03 6f 03 5d 00
71 03 6d 03 5d 00
73 03 6d 03 5d 00
6e 03 6a 03 5e 00
71 03 6b 03 5d 00
71 03 6b 03 5d 00
6f 03 6a 03 5e 00
71 03 6b 03 5d 00
6f 03 6a 03 5e 00
70 03 6a 03 5e 00
6e 03 69 03 5e 00
6e 03 69 03 5e 00
6e 03 69 03 5e 00
6f 03 69 03 5e 00
6f 03 69 03 5e 00
6e 03 69 03 5e 00
6c 03 67 03 5e 00
6e 03 68 03 5e 00
Notifications stopped.
--- 0
Notifications started.
6b 03 65 03 5f 00
6b 03 65 03 5f 00
69 03 64 03 5f 00
6b 03 65 03 5f 00
6a 03 65 03 5f 00
6b 03 65 03 5f 00
69 03 64 03 5f 00
69 03 64 03 5f 00
69 03 64 03 5f 00
69 03 64 03 5f 00
69 03 64 03 5f 00
68 03 63 03 5f 00
6a 03 64 03 5f 00
